_id	listing_url	property_type	room_type	bed_type	minimum_nights	maximum_nights	cancellation_policy	first_review	last_review	accommodates	bedrooms	beds	number_of_reviews	bathrooms	amenities	price	security_deposit	cleaning_fee	extra_people	guests_included	weekly_price	monthly_price	reviews_per_month	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	review_scores_rating	availability_30	availability_60	availability_90	availability_365	host_response_time	host_response_rate	host_is_superhost	host_has_profile_pic	host_identity_verified	host_listings_count	host_total_listings_count	address_country_code	address_location_coordinates	address_location_is_location_exact
22374646	https://www.airbnb.com/rooms/22374646	Apartment	Entire home/apt	Real Bed	1	30	flexible	2018-01-01T05:00:00Z	2018-12-21T05:00:00Z	4	1	1	8	1		120	0	25	5	2	NA	NA	NA	10	10	10	10	10	10	98	8	21	37	112	within an hour	99	TRUE	TRUE	FALSE	24	24	PT		TRUE
22378312	https://www.airbnb.com/rooms/22378312	Apartment	Entire home/apt	Real Bed	5	1125	flexible	2018-01-01T05:00:00Z	2019-02-14T05:00:00Z	3	2	2	36	1		161	NA	NA	0	1	NA	NA	NA	10	9	9	10	10	9	89	2	18	28	244	within an hour	100	FALSE	TRUE	FALSE	2	2	AU		TRUE
22396955	https://www.airbnb.com/rooms/22396955	House	Entire home/apt	Real Bed	3	1125	flexible	2018-03-29T04:00:00Z	2019-01-02T05:00:00Z	4	3	3	31	1.5		80	0	20	35	3	NA	NA	NA	10	10	10	10	9	10	99	19	41	51	255	within an hour	100	TRUE	TRUE	FALSE	1	1	PT		TRUE
22412815	https://www.airbnb.com/rooms/22412815	House	Entire home/apt	Real Bed	1	1125	strict_14_with_grace_period	2017-12-26T05:00:00Z	2019-01-02T05:00:00Z	12	3	11	40	1.5		119	500	100	22	1	NA	NA	NA	9	9	10	10	10	9	92	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	6	6	AU		FALSE
22420791	https://www.airbnb.com/rooms/22420791	Apartment	Entire home/apt	Real Bed	2	90	flexible	2018-01-15T05:00:00Z	2019-02-01T05:00:00Z	4	1	1	19	2		108	0	50	50	3	NA	NA	NA	10	10	10	10	9	10	100	20	49	68	158	within a few hours	100	TRUE	TRUE	FALSE	1	1	BR		TRUE
22499729	https://www.airbnb.com/rooms/22499729	Apartment	Private room	Real Bed	1	1125	flexible	NA	NA	1	2	1	0	1		691	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	1	1	HK		FALSE
22519067	https://www.airbnb.com/rooms/22519067	Condominium	Entire home/apt	Real Bed	4	1125	strict_14_with_grace_period	2018-05-10T04:00:00Z	2019-02-26T05:00:00Z	4	1	2	7	1		250	250	130	0	1	NA	NA	NA	10	10	10	10	10	9	100	2	2	22	211	within an hour	100	FALSE	TRUE	FALSE	1	1	US		TRUE
22530493	https://www.airbnb.com/rooms/22530493	House	Entire home/apt	Real Bed	2	22	strict_14_with_grace_period	2018-01-18T05:00:00Z	2018-03-11T05:00:00Z	4	2	2	7	2		181	150	75	0	1	NA	NA	NA	9	9	10	10	9	9	94	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	1	1	AU		FALSE
22536752	https://www.airbnb.com/rooms/22536752	Villa	Private room	Real Bed	1	1125	flexible	2018-01-11T05:00:00Z	2018-02-02T05:00:00Z	3	1	2	5	1		30	NA	10	10	1	NA	NA	NA	8	8	8	7	8	8	80	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	3	3	AU		FALSE
22585112	https://www.airbnb.com/rooms/22585112	Apartment	Entire home/apt	Real Bed	1	14	flexible	2018-02-04T05:00:00Z	2018-08-06T04:00:00Z	3	0	2	6	1		75	200	50	25	3	NA	NA	NA	10	9	10	10	10	9	96	0	0	0	0	within a few hours	100	FALSE	TRUE	FALSE	1	1	CA		TRUE
22586401	https://www.airbnb.com/rooms/22586401	House	Entire home/apt	Real Bed	2	180	strict_14_with_grace_period	2018-02-12T05:00:00Z	2018-08-07T04:00:00Z	6	1	3	5	1		159	300	149	20	2	NA	NA	NA	10	10	10	10	10	9	96	11	11	11	75	within an hour	100	FALSE	TRUE	FALSE	40	40	US		TRUE
22613522	https://www.airbnb.com/rooms/22613522	Apartment	Entire home/apt	Real Bed	5	1125	flexible	2018-06-07T04:00:00Z	2019-01-02T05:00:00Z	2	1	2	12	1		50	500	0	0	1	NA	NA	NA	10	10	10	10	9	10	100	0	0	0	0	NA	NA	TRUE	TRUE	FALSE	1	1	CA		TRUE
22624198	https://www.airbnb.com/rooms/22624198	Apartment	Private room	Real Bed	2	30	moderate	2018-04-15T04:00:00Z	2018-10-21T04:00:00Z	3	2	2	13	1		348	0	40	80	2	NA	NA	NA	9	7	9	9	10	9	86	30	56	83	173	within a few hours	100	FALSE	TRUE	FALSE	2	2	TR		TRUE
2265321	https://www.airbnb.com/rooms/2265321	Apartment	Entire home/apt	Real Bed	3	1125	strict_14_with_grace_period	2014-06-06T04:00:00Z	2019-02-10T05:00:00Z	6	2	2	132	2		100	150	70	10	4	NA	2000	NA	10	9	9	10	10	9	93	2	10	18	225	within an hour	100	FALSE	TRUE	FALSE	38	38	ES		TRUE
22654578	https://www.airbnb.com/rooms/22654578	Condominium	Entire home/apt	Real Bed	30	1125	strict_14_with_grace_period	2018-08-21T04:00:00Z	2018-08-21T04:00:00Z	3	0	2	1	1		72	0	104	0	3	NA	NA	NA	10	10	10	10	8	10	100	15	45	75	247	within a few hours	67	FALSE	TRUE	FALSE	200	200	US		FALSE
